# Display texts. 
# Default template. 
# Non default templates can be put in their template folder with the same name. Object names not found in the file in the template folder will be taken from the default template file

########################################## example ##############################
# PAGE->OBJECTNAME,mytext
#    PAGE = QT page name
#    OBJECTNAME = QWidget (QLabel or QPushButton)
#    , = separator between name and text
#    mytext = custom text to be displayed on screen
#################################################################################

# comment example (needs to start with a #)
# empty lines are also permitted

# page_idle
page_how_to->label_step03_heading,03. Dispense
page_how_to->label_step03_instruction,Bring bottle up to indicated nozzle, then press and hold to dispense.
page_how_to->pushButton_to_feedback,Contact us 
page_how_to->pushButton_to_help,←BACK
page_how_to->pushButton_to_maintenance,Settings

# page_sendFeedback
page_sendFeedback->pushButton_previous_page,←BACK
page_sendFeedback->label_select_problem,We Value Your Feedback
page_sendFeedback->label_feedback_title,Let us know your feedback:
page_sendFeedback->checkBox_1_Label,I love this, keep me in the loop
page_sendFeedback->checkBox_2_Label,User interface problem
page_sendFeedback->checkBox_3_Label,Drink dispensing problem
page_sendFeedback->checkBox_4_Label,Payment problem
page_sendFeedback->checkBox_5_Label,Other
page_sendFeedback->label_enter_email,Please update me via this email:
page_sendFeedback->label_enter_feedback,Please enter details or comments below
page_sendFeedback->label_thanks_for_feedback,Thanks for your feedback!
page_sendFeedback->label_thanks_for_feedback_2,Your feedback is invaluable to us
page_sendFeedback->pushButton_send,Send
page_sendFeedback->label_contact_info,Contact Information<br>Phone: (+1) 604-283-5311<br>Email: hello@aelen.com

# page_qr_payment
page_qr_payment->pushButton_previous_page,←BACK
page_qr_payment->label_title->pay_by_phone,Scan to Pay
page_qr_payment->label_scan->label_scan_1,QR Pay
page_qr_payment->label_scan->finalize_transaction,\n Please follow the instructions in <br>your phone browser
page_qr_payment->label_steps,<ol><li><span class='tab'></span>Scan QR code with phone camera</li>        <li><span class='tab'></span>Click to open the link that appears</li>        <li><span class='tab'></span>Follow payment instructions on phone</li>        <li><span class='tab'></span>The station will proceed after payment</li>        <li><span class='tab'></span>Refill your beverage!</li>        </ol>  

# page_payment_tap_tcp
page_payment_tap_tcp->pushButton_previous_page,←BACK

# page_payment_tap_serial
page_payment_tap_serial->pushButton_previous_page,←BACK
page_payment_tap_serial->animated_Label->cancel,Please wait a moment to choose another product

# page_email
page_email->pushButton_to_product_overview,←BACK
page_email->label_email_title,To dispense free sample<br>Please kindly enter your email address
page_email->keyboardTextEntry->email_placeholder,Please enter your email address
page_email->keyboardTextEntry->invalid,Incorrect email address, please enter valid email address
page_email->pushButton_continue, Submit email for free dispense!

# page_product_freeSample
page_product_freeSample->lineEdit_promo_code->valid,Coupon Code Valid
page_product_freeSample->lineEdit_promo_code->invalid,Coupon Code Invalid
page_product_freeSample->lineEdit_promo_code->ineligible,Coupon Code Not Eligible At This Station
page_product_freeSample->lineEdit_promo_code->network_error,Network error, could not verify. Try again.
page_product_freeSample->lineEdit_promo_code->invite,Tap here to enter Coupon Code
page_product_freeSample->label_page_title,Scan QR
page_product_freeSample->label_invoice_title,Free Sample
page_product_freeSample->label_invoice_size_title,Size: 
page_product_freeSample->label_invoice_coupon_title,Coupon Code
page_product_freeSample->pushButton_select_product_page,←BACK
page_product_freeSample->pushButton_continue->proceed_free,Proceed
page_product_freeSample->pushButton_continue->proceed_pay,Proceed to Pay
page_product_freeSample->pushButton_continue,Continue
page_product_freeSample->pushButton_continue->proceed_pay_tap,Pay with TAP
page_product_freeSample->pushButton_continue->proceed_pay_qr,Pay with QR
page_product_freeSample->pushButton_continue_additional->proceed_pay_qr,Pay with QR
page_product_freeSample->label_selected_volume->custom_volume,Custom Volume (maximum: %1)
page_product_freeSample->label_steps,<ol><li><span class='tab'></span>Scan QR to get your coupon.</li>        <li><span class='tab'></span>Enter the coupon code.</li>        <li><span class='tab'></span>Enjoy your Sip!</li></ol>  


# input_widget
input_widget->label_input_info,Enter password followed by the "Return" key to enter maintenance mode
